State,State Ab.,State Capital,Population,ORI Code,No. of Officers,Year of Data,No. of Rapes,No. of Simple Assaults,No. of Stole Property's,School Ratings,Employment Rate,Avg. Income
ALABAMA,AL,Montgomery,"198,525",AL0030100,474,2018,,,,,,
ALASKA,AK,Juneau,"32,113",AK0010300,47,2018,,,,,,
ARIZONA,AZ,Phoenix,"1,680,992",AZ0072300,2919,2018,,,,,,
ARKANSAS,AR,Little Rock,"197,312",AR0600200,575,2018,,,,,,
CALIFORNIA,CA,Sacramento,"513,624",CA0340400,651,2018,,,,,,
COLORADO,CO,Denver,"727,211",CODPD0000,1517,2018,,,,,,
CONNECTICUT,CT,Hartford,"122,105",CT0006400,394,2018,,,,,,
DELAWARE,DE,Dover,"38,079",DE0010100,101,2018,,,,,,
FLORIDA,FL,Tallahassee,"194,500",FL0370300,377,2018,,,,,,
GEORGIA,GA,Atlanta,"506,811",GAAPD0000,1535,2018,,,,,,
HAWAII,HI,Honolulu,"345,064",,,,,,,,,
IDAHO,ID,Boise,"228,959",,,,,,,,,
ILLINOIS,IL,Springfield,"114,230",,,,,,,,,
INDIANA,IN,Indianapolis,"876,384",,,,,,,,,
IOWA,IA,Des Moines,"214,237",,,,,,,,,
KANSAS,KS,Topeka,"125,310",,,,,,,,,
KENTUCKY,KY,Frankfort,"27,679",,,,,,,,,
LOUISIANA,LA,Baton Rouge,"220,236",,,,,,,,,
MAINE,ME,Augusta,"18,681",,,,,,,,,
MARYLAND,MD,Annapolis,"39,174",,,,,,,,,
MASSACHUSETTS,MA,Boston,"692,600",,,,,,,,,
MICHIGAN,MI,Lansing,"118,210",,,,,,,,,
MINNESOTA,MN,Saint Paul,"308,096",,,,,,,,,
MISSISSIPPI,MS,Jackson,"160,628",,,,,,,,,
MISSOURI,MO,Jefferson City,"42,838",,,,,,,,,
MONTANA,MT,Helena,"32,315",,,,,,,,,
NEBRASKA,NE,Lincoln,"289,102",,,,,,,,,
NEVADA,NV,Carson City,"55,916",,,,,,,,,
NEW HAMPSHIRE,NH,Concord,"43,627",,,,,,,,,
NEW JERSEY,NJ,Trenton,"83,203",NJ0111100,267,2018,,,,,,
NEW MEXICO,NM,Santa Fe,"84,683",NM0260100,150,2018,,,,,,
NEW YORK,NY,Albany,"96,460",NY0010100,316,2018,,,,,,
NORTH CAROLINA,NC,Raleigh,"474,069",NC0920100,713,2018,,,,,,
NORTH DAKOTA,ND,Bismarck,"73,529",ND0080100,127,2018,,,,,,
OHIO,OH,Columbus,"898,553",OHCOP0000,2132,2018,,,,,,
OKLAHOMA,OK,Oklahoma City,"655,057",OK0550400,96,2018,,,,,,
OREGON,OR,Salem,"174,365",OR0240200,190,2018,,,,,,
PENNSYLVANIA,PA,Harrisburg,"49,528",PA0220200,149,2018,,,,,,
RHODE ISLAND,RI,Providence,"179,883",ND0080100,,,,,,,,
SOUTH CAROLINA,SC,Columbia,"131,674",,,,,,,,,
SOUTH DAKOTA,SD,Pierre,"13,646",,,,,,,,,
TENNESSEE,TN,Nashville,"670,820",,,,,,,,,
TEXAS,TX,Austin,"978,908",,,,,,,,,
UTAH,UT,Salt Lake City,"200,567",,,,,,,,,
VERMONT,VT,Montpelier,"7,855",,,,,,,,,
VIRGINIA,VA,Richmond,"230,436",,,,,,,,,
WASHINGTON,WA,Olympia,"46,478",,,,,,,,,
WEST VIRGINIA,WV,Charleston,"46,536",,,,,,,,,
WISCONSIN,WI,Madison,"259,680",,,,,,,,,
WYOMING,WY,Cheyenne,"64,235",,,,,,,,,
